"Polarity","Text"
"neutral","Committed the 2a patch with revision 1187204."
"negative","I think my first preference  would be to make this only a java 7 and up feature. The change is very clear and we can use our normal testing methods.  Meanwhile users can set their umask appropriately.  My second preference would be only  to only change permissions by default  with java 7 and higher. I think we really need to have tests for the default configuration and non-portable tests might have to be customized to different environments which seems like a lot of effort for something that won't be used moving forward.  I am sorry I didn't chime in earlier.  Time has been quite tight recently.   "
"neutral","I think clearing private fields should work in all JVMs since that's what the call to f.setAccessible(true) is for. Those fields were final too before DERBY-23 and it looks like modifying final fields via reflection didn't work prior to Java 5 even when calling setAccessible() first. The tests also fail on 1.4.2 (both Sun and IBM)."
"neutral","Attaching a new patch that compiles without errors against JDK1.4.2.  It also accounts for the customizable port part (DERBY-4217) which the previous patch didn't."
"positive","Hi Tiago  Thanks for looking at this issue.  On visual inspection of the change your text change looks fine. However I can't apply the patch. You need to svn diff from the top of the tree show it shows the path staring with java/engine/...  You should reopen the issue until it has been committed.  Also just for good measure you should run suites.All and derbyall  in case there are any canon updates needed.  Thanks  Kathey "
"neutral","Oh one more thing on the tests. You have  if (JVMInfo.JDK_ID >= 6) {  ... test   should it b if (JVMInfo.JDK_ID >= 5) { ?  "
"positive","Changes look good. Could you run regression tests with your patch and let us know how it goes?  Thanks  Kathey "
"positive","Junit patch committed Revision: 634284 - Thanks John."
"positive","Thanks for double-checking the fix Knut. I am thinking of merging the fix into 10.3 tomorrow just to make sure that tests run fine on the tinderbox. All the tests ran fine on my machine."
"positive","Hi Manjula I think your approach basically looks good. Please see my comments below.  1) I think this code  +        NetworkServerControl serverControl = null"
"neutral","Patch failover-slave-2b.diff committed as revision 633043."
"neutral","Dag commented (6/30/2011) on the commit of revision 1141368 - apparently replies on the commit messages don't make it back into JIRA so just for the record here is that comment: ""I didn't follow this one but I notice setUp and teardown do not call super.setUp super.tearDown respectively as per the idiom. Is there a reason for this here?  Notably BaseJDBCTestCase#tearDown does some cleaning up. It may not be required here but it's generally good to stick to the idiom.""  Houx Zhang replied: ""Yes Dag. I agree with you and will adopt it.""  Looks like Bryan already added super.teardown with revision 1141769. "
"negative","Sorry for the noise I forgot to grant the license to previous attachment for inclusion in ASF works. Thanks"
"neutral","Assigning back to Dag."
"positive","This looks like a fine approach to me. Thanks for putting the patch together. +1. "
"neutral","The attached patch adds a test case to RestrictedVTITest that shows that the predicate is not pushed in the following query:      select s_r count(*) from table(integerList()) t group by s_r having s_r > 1  Only the rows with s_r > 1 have to be returned by the table function integerList so pushing the predicate could be useful.  Committed the new test case to trunk with revision 943088."
"neutral","Closing as a duplicate of DERBY-3061 which is fixed in Derby 10.3.2.1."
"positive","Release note looks good. "
"neutral","Committed revision 1142583.  I also plan to backport the fix to the 10.8 branch."
"neutral","Committed patch 2a to trunk with revision 784701."
"positive","Patch 3 looks good to me too. Thanks for all the work."
"neutral","Committed revision 1125305."
"positive","I was able to download and extract http://db.apache.org/derby/docs/docs-10.0.tar.gz just fine. Thanks for working on this Myrna."
"neutral","Committed revision 568039."
"positive","Hi Ramin  The patch looks good except I think it would be good to give import/export its own  SQLState starting with XIE instead of reusing the existing store FILE_EXISTS message.  Also it would be good to have test cases for writing the lob files.  Kathey "
"neutral","Reattaching with ""grant license..."""
"neutral","It should be noted that the client driver already caches the LOB lengths (for both Clobs and Blobs). I planning to go ahead with the patch for StoreStreamClob in the embedded driver."
"positive","Knut Anders thanks for the review and the good advice.  The attached patch rmTestPreparedStatementMethods_v2.diff should address your comments."
"neutral","I found the reason why we observe different behaviors with the network server: Since you run with the default security manager you actually get derby.system.home set as a system property as a side effect (see line ca line 586 in NetworkServerControl.java) as part of the set-up of the security manager. I ran without the security manager so I did not get it set.   I do think though that the old behavior was buggy: I can't see why one should need to set derby.system.home explicitly to get the auto-boot behavior. Unless someone can explain why this should be so I'll file a bug for that. "
"neutral","Please find the attached screenshot for reference"
"neutral","Committed 3a with revision 506899."
"positive","Thanks for the revision Jørgen! I think the release notes look good now. I will resolve the issue after a few days to allow for any feedback on Knut's suggestion. "
"positive","Thanks so much Knut Anders!"
"neutral","Attaching the doc updates for the Tuning Guide. Please review and comment if these updates are ready to be committed."
"neutral","I propose to commit drop_column_v8_restored_tests.diff. If there are any reviewers currently examining this patch please let me know. Unless any additional review comments are raised in the next 48 hours I will commit the patch."
"positive","Hi Anurag  Thanks for the preliminary peek at this patch. Looks good. I like the way you handled the optional inclusion of the JDBC4-specific classes in the jar file. I recommend adding class and method comments to the test classes so that reviewers will know what these tests are supposed to stress. Thanks for the explanation of why you disabled the SecurityManager and for commenting the property file accordingly. When we do commit this patch let's leave the JIRA open to remind us to re-enable the SecurityManager after mustang fixes its bug.  Cheers-Rick"
"positive","The patch looks good and the tests ran cleanly. I reindented some parts of the code since they had twice as much indentation as the surrounding code (does your editor use tab width eight instead of four?).  Committed revision 396859."
"neutral","Committed to trunk with revision 467578. Committed to 10.2 with revision 467580."
"positive","Hi Anders   I agree with Knut  this issue can be marked as fixed   Thanks a lot for  working on this improvement.   -suresh  "
"neutral","description of the changes made in this patch "
"positive","Thanks for taking the time out to review the patch Bryan. Yes the patch is ready for commit unless someone else is reviewing it too. Thanks again."
"positive","Thanks Kathey and Myrna. The release note looks good and it passes the ReleaseNoteReader's checks."
"neutral","Kathey I think you should just go ahead and port the fix to 10.1.  Merge command:    svn merge -r 289538:289539 https://svn.apache.org/repos/asf/db/derby/code/trunk  I have started working on a general check-that-resources-are-freed test for DERBY-23 DERBY-210 and DERBY-557 but while doing that I ran into another resource leak (DERBY-594) that I wanted to resolve first."
"neutral","Any thought of porting this patch to 10.1? I just ran derbyall on the 10.1 branch and this came up."
"neutral","AfterDeploymentValidation#addDeploymentProblem failed. since we have DELTASPIKE-262 we should just enable it again for v0.4."
"positive","Great thanks! "
"negative","Thanks for accepting this patch. I'm sorry I wasn't sensitive to the brace convention already in the file. I probably could have javadoc'd the inner class too :)  I didn't think about the lack of thread safety of the SimpleDateFormat class: good catch. So this counts as a bugfix by markt (format was being used in an unsynchronized way prior to this patch) as well as an enhancement by me :)  If DBCP typically uses localized error messages I'd be happy to provide another patch that localizes the exception's message."
"neutral","Created an attachment (id=13383) Patch to apsupport.m4 to support AMD64 "
"positive","Committed. Thanks for the patch :) "
"neutral","Created a new issue and copied the patch there:  https://issues.apache.org/jira/browse/DAEMON-93"
"positive","Sounds perfect thank you."
"neutral","As soon as I made the change in Karaf I will submit the CXF patch."
"positive","Hi Aki  I strongly suggest you write a persistence system test both for client and server side which can expose the problem you mentioned and also verify your fix works.  Actually we already have ServerPersistenceTest and ClientPersistenceTest in systests/ws-specs I think you can add yours in those two classes.  Btw your suggestion seems ok for me.  Thanks Freeman"
"positive","Applied patch into trunk and cxf-2.2.x branch  with thanks to William."
"neutral","Added patch generated from CXF 2.2.6"
"positive","Hi Charles thanks for the confirmation... We will chat with Willem I'm off today but will work for a couple of days this week... Sergey  "
"positive","  I've now ported the fix to 2.0.4 and deployed  a new snapshot.   Could someone give it a try to make sure it really is fixed so that we can close this off for 2.0.4?  Thanks!"
"negative","I misread the original description."
"positive","Patch applied.  Thanks! "
"neutral","when we have @RequestWrapper/@ResponseWrapper annotion the generated WSDL contains duplicate schemas.  See test: JaxwsServiceBuilderTest.testDocLit()"
"negative","Oops didn't mean to leave that in."
"neutral","Noah said he’s going to fix this in his build-fauxton branch but I’d like to explain this for posterity.  make indeed throws this error I didn’t suggest it is a grunt.js error but it’s the way we use Autotools. In particular in how we use Autotools for packaging. Each file that is supposed to end up in our final apache-couchdb-x.y.z.tar.gz tarball needs to be marked as such in a Makefile.am. For Fauxton that means we maintain a list of Fauxton files in src/Makefila.am specified as `FAUXTON_FILES`:  FAUXTON_FILES = \     fauxton/app/addons/activetasks/assets/less/activetasks.less \     fauxton/app/addons/activetasks/base.js \     fauxton/app/addons/activetasks/resources.js \     …and so on  In that list there is a line: `fauxton/app/initialize.js` e.g. where we say that file is supposed to go into the release tarball. That file however does not exist at the time `make dist` is run so make complains. I assume the solution is that make needs to call grunt at some point to turn fauxton/app/initialize.underscore into fauxton/app/initialize.js and I think that is what Noah is doing in his branch. I just wanted to explain why this isn’t a make error. "
"neutral","Dang just realized this might be hard.  Each individual node can't really predict when/where conflicts will happen. So how would it avoid compacting away the shared parent?"
"positive","I'm excited to see progress being made here but I have to agree with Joan the security of this concerns me even with the new sandbox.js you're putting together."
"neutral","That's what reminded me of ubjson actually. I looked at UBF and it looks rather complicated for a data exchange. I wouldn't say no but I don't have any interest in supporting it.  ubjson shouldn't be anything more than writing a parser (which should be ~trivial) and then adding the logic to switch (de)serializers based on content and accept types. I have no idea what UBF really even is under the hood but it sounded a lot more complicated."
"neutral","@Paul. Can we close this?"
"positive","Applied to master and branch 1.2.x. Thanks Klaus."
"positive","The patch & tests look good to me."
"positive","Applied to trunk. Thanks Andrey"
"negative","Sorry for delay. This patch is including LRU cache. But changing static class into member is not done. What should I do?"
"negative","Hello Oliver  Sorry for the late response. I haven't had any time to look into this again maybe it was a misuse on my side after all. Since I haven't been working on the project I encountered the behavior in for months this issue might as well be closed."
"neutral","Changing resolution to WFM"
"negative","sorry After investigation the real source of the problem is when a tag is using dots (<a.variable>)  Apparently XMLConfiguration does not support this.  Should it ? "
"positive","Brilliant thanks!"
"negative","Oops sorry folks. Wrong project. "
"neutral","There have been changes to the method updateCurrentIterator() between these versions that we need so we can't just reverse the change. I'd love to fix any bug that can be identified cleanly. For now though I'm placing this in NEEDINFO awaiting a test case."
"positive","Hi Colm   My comments are the same see above: https://issues.apache.org/jira/browse/CODEC-161?focusedCommentId=13485148&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-13485148  I've not gone through to see if you've addresses any of comments but a quick scan shows that you did not pick up 2 and 3 so I'll wait for the next version of the patch "
"positive","Hi Gary I think I have a rather nice and elegant patch for this"
"neutral","Yes that's it.  Since it fixes the problem I'll commit the fix."
"neutral","Would you post saxon error message?"
"neutral","Created an attachment (id=16279) Patch to add percentage-dimensions and jpep quality handling (against Trunk) "
"neutral","Well since you didn't respond to my request I finally did without and checked out what you did.   First of all looking at CIncludeTransformer I have to say that I don't understand why it is doing its own caching. Caching should be the concern of pipelines and sources. If you want preemptive loading of cached content this would much better be implemented as a Source wrapper. In fact we now have such a class in the scratchpad area.  One unpleasant implication of the current design is that as an unsuspecting user of this class when you turn on caching in this transformer the cached contents of any included cocoon:// source that identifies a caching pipeline would be cached twice! Once by the pipeline itself and once by the CIncludeTransformer.  Now concerning your patch. I don't quite understand why you retain the validity of the cached contents. The algorithm the caching pipeline uses to determine the validity of the cached contents is as follows: first it looks at the validity of the cached pipeline contents itself then if the validity by itself indicates it needs a current validity to check against then the pipeline contructs a pipeline validity by calling the participating components' getValidity() methods. If your component now returns the same validity object that you previously returned then  that does not make much sense to me.  Since I really needed this functionality myself and I didn't have enough time to discuss and refactor the CIncludeTransformer I implemented my own very basic IncludeTransformer that does exactly what I need no more no less. I'll post it here if anyone want to use it.  I also looked at the XIncludeTransformer to see if I could implement caching in that one instead. But it seems that the XIncludeTransformer reads included content from URL objects instead of from Source objects."
"neutral","Created an attachment (id=9504) relevant portion of stack dump "
"neutral","Created an attachment (id=6729) modified SQLTransformer (in full) "
"neutral","Hmm not quite. Added this above entry to my web.xml but I'm unable to load  the jdbc driver oracle.jdbc.driver.OracleDriver. What's weird is that this  class is in Cocoon's normal classpath. How do I specify the classpath? Once I  get this answered (either here or in cocoon-users which I've also asked) I'll  close the bug. "
"neutral","You should do conn.getObject(entry null). In the AtomPub case it's actually going to be optimized if the entry is already an APPObjectEntry and no futher remote repository access will be done. "
"neutral","Are you using the latest Agent code? I had verified on with latest kvm agent jar copied to kvm host and tried. It worked without issues. Edision had implemented this with the above commit mentioned. Last Saturday I had verified it and its working .  Migrating volume across ZONE/Cluster wide is working perfectly."
"neutral","Kishan If this is already merged can you change status to resolved??"
"neutral","Closing this record since 4.1.0 is now released."
"neutral","closing since 4.1.0 is now released"
"neutral","Hi Malcolm  updated for the latest check-style.  Christian"
"positive","Looks good patch applied -- Thanks Naoki!"
"positive","Hi Mike  Do you know how to get the virtual machine file? The link to download from the rcmes web site is broken.  Thanks.   ----------------------------------------------------------------------------------------------------- Jinwon Kim Dept. Atmospheric and Oceanic Sciences and Joint Institute for Regional Earth System Science and Engineering University of California Los Angeles Los Angeles CA 90095-1565 "
"neutral","reopening issue for a partial revert as requested by Tsuy see http://mail-archives.apache.org/mod_mbox/incubator-clerezza-dev/201009.mbox/%3CAANLkTikODvHWEzyUzsseJ7nZWjUDFhri6qKxjBmiS9WF@mail.gmail.com%3E"
"neutral","The tricky thing with all the stacktraces we have as of now is that they don't seem to be the cause of the issue. Something is eating all the memory and as a consequence stuff starts to go wrong in arbitrary places. We need to find whatever is eating the memory in the first place. It might be very well be releated to the security provider. Can you try to run a memory profiler and see whether you can spot what is holding all the memory?"
"positive","+1 looks good.  Once it is committed I will deploy it.  Thanks Sourygna."
"positive","I just committed this to Trunk. Thanks!  NOTE: made some slight changes to patch to apply correctly to Trunk."
"positive","I just committed this thanks Ari."
"positive","+1 looks good."
"neutral","resovled commits in comments"
"negative","I am sorry if you think this is nit picking but the logged error still refers to plugins.xml but it should not:  {code} LOG.e(TAG ""ERROR: config.xml is missing.  Add res/xml/plugins.xml to your project."")"
"neutral","Ahhh sorry didn't realise that set -e took care of it for you.  I will have to go back and work out why it's failing but not triggering my CI system.  As such you can close this. "
"negative","Sorry I forgot to mention: This is for the future branch!"
"positive","Looks good!"
"neutral","dupe CB-675. See my latest comment there regarding Cordova 2.1.0"
"positive","Thanks a lot for your excellent work Shazron!"
"neutral","I've just gotten a chance to look at this.  A few things jump out immediately.  1) I have to chew over the changes to Cayenne core a bit more.  Off hand they don't seem bad but something feels weird about it.  2) While I can appreciate the cut working like a remove it's a bit weird to be prompted to delete the item.  3) I can't paste an ObjEntity I just cut back to the same DataMap.  With the lack of an undo feature the only reasonable thing for me to do is a revert the datamap.  4) I think my font changed for labels.  I'll have to verify that.  Looking at #3 again actually I can't seem to paste at all.  I even tried creating a new DataMap and was unable to paste the ObjEntity to that."
"negative","Sorry it took so long to drag this up.  I think the issue I had was with the Customer => BillingInfo and Customer => ShippingInfo relationships.  BillingInfo and ShippingInfo each inherit from Address.  IIRC a runtime relationship was being created for Customer => Address which was messing things up.  I'll have to dig through the SVN history to see what I did with mandatory relationships that I mentioned being problematic in the initial bug submission."
"neutral","I was actually trying to debug the issue and didn't see anything that looked like it would nuke the DataMap/DataNode under the DataDomain and was wondering if it was a visual issue but didn't try saving the model to see if it had actually deleted it.  Something about all that information disappearing was unsettling.  This is definitely a post 1.2 thing I think.  Thanks! "
"neutral","I don't think this is a bug -- you essentially moved files out from under a running instance something cassandra can't expect.  In the end sstablesplit should only be done offline."
"positive","+1 thanks committed to cassandra-2.0 as commit 3a7093356ca032d9ce8767b2c47980aebe4bce60"
"positive","Looking at DataStax's 2.0.0 Debian packages the change didn't make its way in.  Digging deeper it's only on the cassandra-1.2 branch.  Can someone merge/cherry-pick it to cassandra-2.0 and trunk.  Thanks Blair "
"neutral","Not sure if the patch was pushed for review or not. In any case fixing the build is pretty trivial the changes made to ModificationStatement should just be reverted (and we should just pass the CL in argument to executeWithCondition() to SP.cas()).  Other than that: * I believe we now refuse CL.SERIAL for the cas() method (because CL.blockfor() throw an UnsupportedOperationException for SERIAL). Maybe we can make SERIAL mean ""wait for nothing on commit not even a local one"" (which probably amount to making CL.blockfor() return 0 for SERIAL and adding a 'if' in WriteResponseHandler ctor to signal right away if blockfor is 0). * I don't think CL.ANY will really work as for normal writes since we don't generate hints for commit. Maybe we could (generate hints) ultimately btw but in the meantime it might make more sense to refuse it (and thus make the default for CAS be either SERIAL if we do the preceding point or ONE). * We don't call CL.validateForWrite() when calling CAS (and we shouldn't as it complains with SERIAL) but maybe we should add a validateForConditionalWrite that would at least check we have the right replication strategy when using the multi-DC specific CLs."
"neutral","patch attached."
"neutral","The mutateLevel problem looks like what I predicted -- Windows won't let you rename over an existing file."
"positive","Committed thanks!"
"positive","Committed thanks"
"neutral","Duplicate of CASSANDRA-4587"
"neutral","Updating patch against new 4164.patch-2.txt from CASSANDRA-4164."
"negative","Sorry for the mess there I was just trying to port CFS and Hive metastore too... but those tests don't work right now so put it on hold getting it to work with CQL3 Column Families is a priority for me right now so will come back to those later.  Just for the Hive handler please look at the (cas-support-simple-hive) branch - https://github.com/milliondreams/hive/tree/cas-support-simple-hive  All the test cases (whatever few they had) pass there and it is working perfectly with Thrift/Compact storage Column Families."
"positive","committed thanks!"
"positive","committed thanks!"
"neutral","Hi Brandon Let me know if the attached patch is sufficient... It looks like the following.  Address         DC          Rack        Status State   Load            Owns    Token                                                                                                                       143633478586163499463326301508681906517      10.123.42.165   us-east     1a          Down   Init    ?               ?       ?                                            10.42.134.229   us-east     1a          Up     Normal  1.74 GB         35.40%  33724529808132598296109669138912087817       10.93.19.6      us-east     1a          Down   Normal  1.78 GB         38.69%  99546828780538918038465713665698202555       10.93.74.164    us-east     1a          Up     Normal  120.37 MB       2.53%   103845090001698524309715695190561870103      10.123.59.26    us-east     1a          Up     Normal  1.15 GB         23.39%  143633478586163499463326301508681906517"
"neutral","(This is the Debian build of the 1.0.6 RC that Sylvain just put up)"
"neutral","We can get average column size from row size / column count so we could make it ""If column size > N bytes or sstable is older than gc_grace_period."""
"neutral","bq. CASSANDRA-2444 got in the way  I'm not sure what the right solution is here.  I buy the premise of 2444 that you don't necessarily want to get hammered by compaction when you're first starting up (warming up caches).  So I don't think ""check for compactions ever N seconds"" is a great policy.  But I'm not sure ""check every N seconds starting M minutes after startup"" is great either because it's not something a user will just guess when he's wondering ""why aren't compactions happening yet?""  Any other ideas?"
"neutral","Split out some fixes to the SSTII bytes tracker getting out of sync w/ the underlying stream and did some cleanup to make the streamed/file versions less divergent.  Also adds parallel compaction testing to LazilyCompactedRowTest.  CliTest and DefsTest generate compaction loads (in DefsTest's case on the Migrations CF -- haven't dug into CliTest as much) that break w/ parallel enabled although the test doesn't actually fail (argh).  Haven't figured out what's causing that and haven't come up with a way to reproduce in a ""real"" test yet.  The DefsTest does mix lazy/nonlazy iteration in the merge which may be relevant.  bq. I'm also no proposing to complicate things.    You're right poor choice of words on my part.  Latest gives the merge executor a SynchronousQueue.  I think that's a better way to cut worst-case than the Deserializer for the reason given previously.  bq. 'if...instanceof' business is a bit error prone/ugly  Agreed. Added getColumnCount + reset to ICountableColumnIterator sub-interface.  bq. say how multithreaded_compaction is different from concurrent_compactors and that multithread_compaction is likely only useful for SSDs in cassandra.yaml  done  bq. The bytesRead ""race"" should also be fixed in CompactionIterable  done  bq. I would have put the code in CompactedRow.close() at the end of the LCR.write() instead of adding a new method as it avoids forgetting calling close   I did consider that but it feels weird to me to have write implicitly call close.  I guess we could just change the method name? :)  bq. We can make PreCompactedRow.removeDeletedAndOldShards a public method and use it in PCI.MergeTask  done"
"positive","committed thanks!"
"positive","{quote} Totally didn't know we support IN for DELETE.   Would prefer to fix by offering IN for for the other statements as well. The Antlr doesn't look too daunting w/ DELETE as an example (knock on wood). Can take a stab at that tomorrow. {quote}  This is {{multiget_slice()}} / {{multiget_count()}} and was intentionally omitted (remember?).  Not saying this is decision that can't be revisited just reminding.  Oh and if we do move forward it's post-0.8 we're in a feature-freeze. :)"
"neutral","bq. I'm not sure I understand are you saying that B would violate this or just that the status quo does?  I'm saying B would violate this yes. B was ""bootstrap from the right token but if that one isn't up bootstrap from any other token preferring the closer ones"" right? I'm saying we can't just automatically choose another token if the user didn't specifically say it's ok."
"positive","The v4 changes look good. Thanks"
"neutral","Patch to allow removing the token and throw UE instead of an internal error when trying to insert and the number of endpoints is less than the RF."
"neutral","attached patch puts all MessageDigest creation into util class."
"neutral","It's hard to say. I lost 5 nodes in about an hour but I don't know how many I lost last time"
"neutral","StringBuilder is used because we can't stream JSON row before we have all columns serialized (columns serialized in portions according to PAGE_SIZE) see serializeRow(SSTableReader SSTableIdentityIterator DecoratedKey PrintStream) method. If you have a better idea then using StringBuilder in this case please share..."
"neutral","Looks good to me for the first 3.  I think ANY should be equal to ONE for hints=off.  I.e. when it's off we *never* create hints."
"neutral","I do have a very large # of rows (>150-200MM on many nodes)"
"neutral","No noticeable performance impact with stress.py defaults or with one column per row in periodic mode."
"positive","+1 Thanks!"
"positive","This looks good to me."
"neutral","I am in the middle of reviewing both of these patches and noticed that they are related and won't mix well."
"neutral","Need to add the reconciler as part of the keyspace attributes...  just so I don't forget."
"neutral","> but I renamed a set of sstable files in data/ to the ""wrong"" version and it did not catch this at startup. I'm not sure what you mean. Which is the ""wrong"" version: the legacy version?  > (does it still ignore tmp files at startup?) I'll double check but I assume so. I didn't change the check that removes tmp files because it did it based on looking for TEMPFILE_MARKER anywhere in the file name which should continue to work."
"neutral","There's good discussion on that project and LRU cache in general in HBASE-1460 if you missed it."
"neutral","Just changed the workflow scheme should work now."
"positive","Well if it is just a documentation bug even better. Thanks for the clarification."
"positive","Good suggestion Claus and thanks Alexander for the fast realization."
"positive","Thanks guys!"
"neutral","It's only committed to the trunk at present (you can check this by selecting the ""All"" tab in the ""Activity"" section).  @Willem: Anything other to do here? I'm asking because the issue is still in the status open. Any reason not to back port this feature also to our 2.10.x and 2.9.x feature branch?"
"positive","Thanks for the patch."
"positive","Hi Willem  I've just tried the latest version from the trunk. Now everything works like a charm. Thank you very much for such a great help.  Regards Sergey"
"neutral","Nevermind.  I believe someone has already addressed it in CAMEL-4294.  I have linked the issue here."
"positive","Committed r1146903 Thanks Jonas for the patch."
"neutral","Closing all resolved tickets from 2010 or older"
"positive","Yeah the patch is great. Just that it should not have been categories as a bug :)"
"positive","Applied patch with thanks to Chris."
"neutral","Closing all resolved tickets from 2010 or older"
"neutral","Closing all resolved tickets from 2010 or older"
"neutral","Hi Christian I just tried to apply your patch but I found there is no pom.xml in the camel-soap module. Can you submit it to the JIRA ? BTW did you run the test with JDK 1.5.0 ?"
"positive","Thanks a lot Willem :-)"
"neutral","Hi Roman  Which version of Servicemix are you using ? There is an camel feature (which includes camel-core camel-spring and camel-osgi) in the org.apache.felix.karaf.features.cfg you need to replace it with camel-core and camel-spring-osgi. Please make sure there is no camel-spring camel-spring-osgi camel-osgi installed at the same time.  "
"neutral","Will be naming this camel-rss rather than camel-rome in case we change to some other rss lib in the future."
"neutral","a patch is attached to camel-606 also address this issue."
"positive","Applied patch with thanks to William."
"negative","Dean I am sorry it didn't work out-of-the-box for you.  Yes by all means if you have time later and still have issues then open a new ticket. "
"neutral","Closing all resolved tickets from 2010 or older"
"neutral","Here is the curent state. It is the samples/servlet/src/script/share build.xml.  It work for tomcat5x (it is hard coded). The test are passe but I need to remove TestSampleFilter.java TestFilterHttpHeaders.java and TestBasicAuthentication.java from the test execution. I don't know why they failed but continu to look at this.  Nicolas"
"negative","I meant the findbugs addon. Sorry for the confusion."
"neutral","The proposed solution I outlined above on github: http://github.com/assaf/buildr/tree/BUILDR-4  But I can't find a way to use this in combination with ArtifactNamespace so it will have to be one or the other."
"neutral","We have fixed this in the twitter fork. You can review the fix at   https://github.com/twitter/bookkeeper/commit/a48472911b176d75905399e7c32bb782f3564b83  If you are fine with the change I will submit this as a patch."
"positive","Committed as r1406707. Thanks for reviewing Sijie."
"negative","Sorry Ivan attach a new patch with --no-prefix."
"positive","ah got it. thanks Ivan for explanation."
"positive","Thanks Ivan for take a look. I'll go through and work on this weekend."
"positive","Hi Ivan  {quote} + long numberOfEntriesToReplicate = lastEntryId - firstEntryId"
"positive","Thanks Ivan. I'll do the changes by just return if it matches as you suggested. I'll investigate it later.  bq.Auditor will be a top level daemon so it should own its create it's own LedgerManagers and ZooKeeper client. The only thing passed in to is should be the configuration.  Anyway we are planning to have initialization class which does starting Auditor and RW threads. Would you agree to create ledgerManagers there and pass it to the Auditor and RW daemons?  In that case shall I keep the ctor as it is. (by taking managers)  {code} public Auditor(String bookieIdentifier AbstractConfiguration conf             ZooKeeper zkc LedgerManager ledgerManager             LedgerUnderreplicationManager ledgerUnderreplicationManager) { {code} "
"neutral","Attached the patch which addresses the issue in EntryLogger."
"neutral","attach a patch fix NPE in debug message."
"positive","committed as 1307725. thanks for Ivan's improvement thanks Flavio for reviewing."
"positive","new patch looks good to me +1"
"positive","Committed r1185532 thanks Flavio. "
"positive","Great! Thanks.  Aaron"
"neutral","S3 would be interesting"
"neutral","If removing leads to the reduced coverage then I am not a happy camper."
"positive","Thanks James does the rest of the build work with this patch? Seems like this should work with the old RHEL5 toolchain but I didn't look closely. "
"positive","Applied the patch with revision 170884.  Thanks Carlin for the detailed updates (and for all the fixed double-dashes :))."
"neutral","It looks like we have to rebuild StackMapTable from scratch during method generation.   I've tried BCEL code and it looks like it already have implementation we need but I don't see ways to reuse it for now...  By the way I recommend to increase this issue priority to high or blocker."
"positive","Looks good.  Applied thanks!    http://svn.apache.org/viewvc?rev=606891&view=rev"
"neutral","This is fixed in CVS (post 1.5b5). "
"neutral","I believe this is now fixed.  The test case itself was the problem - missing suffix of ULL or LL for unix and UI64 or I64 for windows.  I am closing the issue."
"neutral","I have attached the modifications to the ClientStubWriter.java in wsdl. This modification will solve the problem. But I didn't check further memory leaks with the modifications."
"neutral","Apparently this is not completely solved."
"neutral","Hi Dushshantha  Please find the attached file AXIS2C-1193-manual.patch."
"neutral","I've done some modifications and checked with valgrind and reduce around 6000 bytes of a loss with echo sample. regs lahiru"
"neutral","What is interesting here is that the OOM error already occurs while processing the SOAP part of the message and not while accessing the attachment part (as one would expect). What is the stack trace that you get with Axis2 1.6.1 and Axiom 1.2.12?"
"neutral","Committed revision 1068985"
"neutral","Patch is attached"
"neutral","Hi I am still having the same problem with the 1.4.1 build. Can you please check this a.s.a.p.  Best Regards"
"neutral","Yes someone should have a look at this. I just ran it again and it is still failing."
"positive","commit the patch to trunk. thanks sameera."
"neutral","This doesn't exactly seem fixed to me. First of all I can't make this work on an actual RELEASED version of the plugin. Second I can't even get the most recent snapshot to work at all. The POM includes all sorts of noise that just shouldn't be required per Chris's point. Can this issue get some attention? I'm fairly certain this plugin just flat out doesn't work in its current state."
"neutral","Fixed. Now we dont have restPath only service path."
"positive","Hi Rich!  Thanks for taking the time to move forward on this.  I didn't have any JUnit problems at all with Maven2 when I installed it.  But clearly we're in a world of hard-to-replicate behaviors here. :)  What is the exact problem you're seeing?"
"neutral","Patch attached."
"positive","Great! Thanks a lot. I suppose it will be in the next nightly build?  VBR johan   "
"neutral","Duplicate of AXIS2-897"
"positive","Done Thanks chatra"
"neutral","I added a patch to fix the deadlock issue.  I used the same type of approach as Brian Ewins did with his patch. So the addition of some of his concepts could be applied to fix them both at the same time.  Reference of his patch suggestion: http://nagoya.apache.org/jira/browse/AXIS-238?page=history"
"neutral","Attached a patch that adds a flag for opt-in and adds a test"
"positive","I just committed this. Thanks for the reviews Doug.  (BTW the last patch didn't include the removal of lang/java/mapred/src/main/java/org/apache/hadoop/io/SequenceFileBase.java so I did that manually when I committed.)"
"positive","+1  Looks good to me. Thanks."
"positive","[~thiru_mg] - thanks for the patch! Looking forward to it landing in 1.7.0"
"positive","I committed this.  Thanks Raymie!"
"neutral","Modification of patch-2 to introduce a double class to resolve the final ambiguity for [""float""""double""] unions."
"positive","I'll do it now thanks! "
"positive","I committed this.  Thanks Miki!"
"positive","I just committed this. Thanks Jeff."
"neutral","Didn't make 1.1"
"neutral","Reopening this issue and Richard will add more information into the JIRA."
"positive","Thanks Rick for applaying the patch."
"neutral","I don't see that he fixed anything for TS-2216 are you thinking of his commit for TS-1988 ? I was going to try that."
"neutral","I mean keep purging that cache asset."
"negative","Sorry I'd accidentally deleted the --disable-eventfd from my compilation script."
